Model Name;Epochs;Training Time;Best Validation Loss;Test Loss;Test Accuracy;F1;F1 Macro
ann_amazon_1k;50;26.52594256401062;0.522637277841568;0.3229638785123825;0.8133333333333334;0.7971014492753622;0.8121309715512615
ann_amazon_25k;50;241.24538588523865;0.358129645884037;0.3390271618962288;0.8562666666666666;0.87797147385103;0.8515708812654437
ann_yelp;50;4614.206931114197;0.11175425680975119;0.11318305016983123;0.9619883476628273;0.9749580343382187;0.9480545433954253
lstm_amazon_1k;50;17.857855796813965;0.6077236831188202;0.5630560517311096;0.72;0.6911764705882353;0.7175394548063128
lstm_amazon_25k;50;66.26208567619324;0.4194080779949824;0.4062845200300217;0.8165333333333333;0.8424186898763169;0.8114454649126319
lstm_yelp;50;1392.6827075481415;0.14730743770798047;0.1494459017366171;0.9385048650742799;0.9587732880475499;0.9189036003798439
bert_amazon_1k;10;40.8234977722168;0.1434114391566254;0.29665041863918307;0.96;0.9571428571428572;0.9598214285714286
bert_amazon_25k;10;805.5858488082886;0.20882886378689014;0.19050378181595118;0.9285333333333333;0.9414079580236117;0.9249076700576022
bert_yelp;10;15037.989773511887;0.10551166808198253;0.10752867425814674;0.9651472932902206;0.9770993861186446;0.9520996385167011
distilbert_amazon_1k;10;31.724546909332275;0.20760807096958162;0.25860685110092163;0.92;0.9166666666666667;0.9198717948717949
distilbert_amazon_25k;10;603.6977322101593;0.2172443609763967;0.21011497161172807;0.9136;0.9267962042476277;0.910698037062005
distilbert_yelp;10;10765.494752168655;0.10292644921018097;0.1082814597685797;0.9587399979139039;0.972669397423876;0.9442615835692632